timestamp,acc_x,acc_y,acc_z,label
1.55E+12,7.875,-4.937,-0.239,FKL
1.55E+12,7.307,-3.165,-0.4,FKL
1.55E+12,8.021,-2.253,-0.572,FKL
1.55E+12,9.931,-2.349,-0.211,FKL
1.55E+12,8.641,-2.823,0.273,FKL
1.55E+12,6.939,-2.775,-1.365,FKL
1.55E+12,6.836,-2.361,-1.413,FKL
1.55E+12,7.329,-6.443,-2.988,FKL
1.55E+12,3.922,-8.243,1.968,FKL
1.55E+12,1.753,-9.781,2.955,FKL
1.55E+12,-1.183,-10.65,2.83,FKL
1.55E+12,-0.031,-9.611,1.298,FKL
1.55E+12,2.066,-8.399,0.627,FKL
1.55E+12,9.994,-9.149,18.019,FKL
1.55E+12,1.228,-8.363,4.458,FKL
1.55E+12,0.955,-8.648,5.241,FKL
1.55E+12,1.602,-8.667,3.553,FKL
1.55E+12,0.764,-9.678,2.203,FKL
1.55E+12,-0.134,-10.391,2.94,FKL
1.55E+12,4.224,-9.283,3.18,FKL
1.55E+12,4.477,-8.773,2.279,FKL
1.55E+12,2.883,-9.326,2.442,FKL
1.55E+12,2.459,-9.33,1.999,FKL
1.55E+12,4.338,-8.339,2.598,FKL
1.55E+12,3.754,-7.647,1.279,FKL
1.55E+12,2.152,-6.848,2.255,FKL
1.55E+12,4.719,-8.361,2.174,FKL
1.55E+12,2.871,-8.782,1.276,FKL
1.55E+12,2.289,-9.335,1.65,FKL
1.55E+12,2.303,-9.316,1.824,FKL
1.55E+12,2.967,-9.261,0.924,FKL
1.55E+12,2.308,-10.614,1.551,FKL
1.55E+12,2.442,-10.81,1.98,FKL
1.55E+12,3.354,-9.723,2.66,FKL
1.55E+12,2.504,-9.721,0.225,FKL
1.55E+12,2.646,-10.224,1.142,FKL
1.55E+12,2.818,-11.239,1.956,FKL
1.55E+12,2.852,-10.303,1.753,FKL
1.55E+12,2.073,-10.338,2.512,FKL
1.55E+12,2.114,-10.817,1.894,FKL
1.55E+12,1.992,-9.869,0.821,FKL
1.55E+12,1.264,-9.182,1.166,FKL
1.55E+12,2.129,-9.814,1.669,FKL
1.55E+12,1.956,-10.061,1.379,FKL
1.55E+12,2.203,-10.192,0.692,FKL
1.55E+12,2.059,-10.133,1.156,FKL
1.55E+12,2.004,-10.082,1.291,FKL
1.55E+12,2.066,-8.516,1.377,FKL
1.55E+12,2.203,-8.497,1.305,FKL
1.55E+12,1.748,-8.624,1.985,FKL
1.55E+12,2.121,-9.354,0.711,FKL
1.55E+12,2.524,-9.01,0.175,FKL
1.55E+12,2.361,-7.473,1.259,FKL
1.55E+12,1.997,-7.702,1.58,FKL
1.55E+12,2.43,-8.504,1.944,FKL
1.55E+12,1.894,-7.824,0.85,FKL
1.55E+12,3.371,-10.532,1.013,FKL
1.55E+12,2.605,-10.805,0.816,FKL
1.55E+12,2.222,-10.236,0.388,FKL
1.55E+12,2.16,-9.603,0.785,FKL
1.55E+12,1.848,-9.06,1.631,FKL
1.55E+12,2.105,-9.79,0.737,FKL
1.55E+12,2.593,-10.544,0.639,FKL
1.55E+12,2.612,-11.516,0.862,FKL
1.55E+12,2.538,-10.851,1.159,FKL
1.55E+12,2.466,-10.501,1.13,FKL
1.55E+12,2.157,-9.474,1.051,FKL
1.55E+12,1.956,-9.864,0.998,FKL
1.55E+12,2.028,-9.271,1.168,FKL
1.55E+12,1.841,-8.986,1.137,FKL
1.55E+12,1.942,-9.129,1.427,FKL
1.55E+12,2.085,-9.232,1.985,FKL
1.55E+12,2.461,-9.642,2.181,FKL
1.55E+12,3.031,-10.406,1.678,FKL
1.55E+12,2.423,-10.499,1.729,FKL
1.55E+12,2.018,-10.042,1.999,FKL
1.55E+12,2.021,-9.651,2.085,FKL
1.55E+12,3.433,-8.057,2.67,FKL
1.55E+12,1.848,-10.396,-1.484,FKL
1.55E+12,3.172,-10.999,3.601,FKL
1.55E+12,2.636,-9.893,2.21,FKL
1.55E+12,2.785,-9.429,1.834,FKL
1.55E+12,2.737,-9.201,1.595,FKL
1.55E+12,2.495,-8.885,2.138,FKL
1.55E+12,2.131,-9.041,2.382,FKL
1.55E+12,2.004,-8.974,2.184,FKL
1.55E+12,1.875,-8.962,2.038,FKL
1.55E+12,1.733,-9.043,1.911,FKL
1.55E+12,1.542,-8.698,2.394,FKL
1.55E+12,1.523,-8.636,2.418,FKL
1.55E+12,1.791,-8.631,2.492,FKL
1.55E+12,2.002,-8.773,2.588,FKL
1.55E+12,2.117,-8.809,2.694,FKL
1.55E+12,2.064,-8.864,2.706,FKL
1.55E+12,1.978,-9.093,2.471,FKL
1.55E+12,2.279,-9.187,2.332,FKL
1.55E+12,2.433,-9.093,2.296,FKL
1.55E+12,2.548,-9.053,2.495,FKL
1.55E+12,2.504,-9.333,2.548,FKL
1.55E+12,2.473,-9.443,2.327,FKL
1.55E+12,2.346,-9.438,1.97,FKL
1.55E+12,2.236,-9.651,1.836,FKL
1.55E+12,2.358,-10.01,2.471,FKL
1.55E+12,2.234,-9.843,2.593,FKL
1.55E+12,2.028,-10.109,2.732,FKL
1.55E+12,1.755,-9.836,2.672,FKL
1.55E+12,1.894,-10.066,1.848,FKL
1.55E+12,0.948,-13.224,1.923,FKL
1.55E+12,-1.19,-14.181,-0.931,FKL
1.55E+12,0.045,-10.585,1.868,FKL
1.55E+12,1.721,-9.625,3.575,FKL
1.55E+12,2.564,-7.789,-0.225,FKL
1.55E+12,2.236,-9.149,-4.207,FKL
1.55E+12,0.824,3.824,10.276,FOL
1.55E+12,1.322,3.548,9.773,FOL
1.55E+12,1.908,3.249,6.651,FOL
1.55E+12,2.978,3.175,4.69,FOL
1.55E+12,5.124,2.176,7.329,FOL
1.55E+12,4.858,1.233,10.638,FOL
1.55E+12,5.339,-0.771,13.511,FOL
1.55E+12,5.188,-1.798,14.5,FOL
1.55E+12,6.828,-2.035,12.328,FOL
1.55E+12,5.485,-1.434,16.319,FOL
1.55E+12,8.143,-1.446,19.863,FOL
1.55E+12,9.728,-1.573,19.209,FOL
1.55E+12,10.238,-0.122,14.2,FOL
1.55E+12,11.076,0.984,11.794,FOL
1.55E+12,9.965,2.112,9.776,FOL
1.55E+12,-4.31,31.188,2.164,FOL
1.55E+12,6.395,34.87,-1.003,FOL
1.55E+12,13.042,22.497,-8.844,FOL
1.55E+12,5.636,-9.256,0.728,FOL
1.55E+12,-3.97,-9.967,1.386,FOL
1.55E+12,-9.263,2.88,3.884,FOL
1.55E+12,-1.88,7.063,1.686,FOL
1.55E+12,3.318,5.543,-1.393,FOL
1.55E+12,4.439,3.948,-2.876,FOL
1.55E+12,3.816,3.594,4.925,FOL
1.55E+12,1.609,4.422,3.699,FOL
1.55E+12,-0.668,4.619,17.873,FOL
1.55E+12,1.401,4.24,29.09,FOL
1.55E+12,-2.346,3.417,29.007,FOL
1.55E+12,-5.631,0.342,5.425,FOL
1.55E+12,0.757,-7.274,-0.134,FOL
1.55E+12,2.571,-9.271,0.275,FOL
1.55E+12,3.134,-10.913,-0.455,FOL
1.55E+12,2.943,-11.083,-0.472,FOL
1.55E+12,2.339,-10.975,0.754,FOL
1.55E+12,1.195,-10.848,0.376,FOL
1.55E+12,0.615,-10.233,-0.235,FOL
1.55E+12,0.378,-9.771,0.017,FOL
1.55E+12,0.352,-9.812,0.263,FOL
1.55E+12,0.309,-9.716,0.464,FOL
1.55E+12,0.831,-9.194,0.239,FOL
1.55E+12,0.814,-9.498,-0.127,FOL
1.55E+12,0.79,-9.556,-0.127,FOL
1.55E+12,0.795,-10.171,-0.053,FOL
1.55E+12,0.433,-11.193,0.041,FOL
1.55E+12,0.129,-12.366,-0.316,FOL
1.55E+12,0.067,-10.987,0.019,FOL
1.55E+12,-0.524,-10.76,0.17,FOL
1.55E+12,-0.182,-10.195,0.122,FOL
1.55E+12,0.144,-9.62,0.362,FOL
1.55E+12,0.239,-9.342,0.395,FOL
1.55E+12,0.345,-8.081,1.36,FOL
1.55E+12,1.959,-8.883,-1.001,FOL
1.55E+12,2.971,-9.393,0.074,FOL
1.55E+12,2.749,-9.893,0.838,FOL
1.55E+12,0.97,-9.987,0.546,FOL
1.55E+12,0.359,-9.778,0.462,FOL
1.55E+12,0.381,-9.62,0.524,FOL
1.55E+12,0.773,-9.706,0.362,FOL
1.55E+12,0.8,-9.682,0.213,FOL
1.55E+12,0.757,-9.68,0.208,FOL
1.55E+12,0.965,-9.761,0.196,FOL
1.55E+12,0.967,-9.773,0.359,FOL
1.55E+12,0.852,-9.764,0.371,FOL
1.55E+12,0.749,-9.761,0.378,FOL
1.55E+12,0.742,-9.749,0.347,FOL
1.55E+12,0.883,-9.659,0.35,FOL
1.55E+12,0.965,-9.668,0.426,FOL
1.55E+12,0.965,-9.661,0.517,FOL
1.55E+12,1.032,-9.704,0.551,FOL
1.55E+12,1.018,-9.68,0.491,FOL
1.55E+12,1.032,-9.709,0.448,FOL
1.55E+12,0.948,-9.702,0.433,FOL
1.55E+12,0.876,-9.733,0.429,FOL
1.55E+12,0.845,-9.726,0.424,FOL
1.55E+12,0.745,-9.68,0.455,FOL
1.55E+12,0.694,-9.721,0.457,FOL
1.55E+12,0.644,-9.761,0.462,FOL
1.55E+12,0.685,-9.766,0.515,FOL
1.55E+12,0.723,-9.771,0.642,FOL
1.55E+12,0.745,-9.666,0.752,FOL
1.55E+12,0.73,-9.706,0.783,FOL
1.55E+12,0.699,-9.745,0.838,FOL
1.55E+12,0.69,-9.759,1.022,FOL
1.55E+12,0.63,-9.706,1.152,FOL
1.55E+12,0.419,-9.761,1.183,FOL
1.55E+12,0.39,-9.826,1.156,FOL
1.55E+12,0.56,-9.79,1.24,FOL
1.55E+12,0.69,-9.474,1.358,FOL
1.55E+12,0.572,-9.278,1.398,FOL
1.55E+12,0.17,-9.465,1.451,FOL
1.55E+12,-0.005,-9.972,1.496,FOL
1.55E+12,0.184,-10.087,1.65,FOL
